theta1,theta2,theta3,thetadot1,thetadot2,thetadot3,tau1,tau2,tau3
0.00194351695685673,-0.00064783898561891,-0.00064783898561891,0.0215718339204686,-0.00719061130682287,-0.00719061130682287,0.00373373694548059,0.000788057041838532,3.17765000218659e-05
0.00198689399057756,-0.000662297996859186,-0.000662297996859186,0.021805166290036,-0.00726838876334534,-0.00726838876334534,0.00381706950779024,0.000805645546832577,3.2485714371028e-05
0.00203073748797559,-0.000676912495991863,-0.000676912495991863,0.0220382975976736,-0.00734609919922454,-0.00734609919922454,0.0039012981971867,0.000823423192697053,3.3202555392774e-05
0.00207504704692696,-0.000691682348975655,-0.000691682348975655,0.0222712278433814,-0.00742374261446046,-0.00742374261446046,0.00398642224079043,0.00084138981634266,3.39270165120032e-05
0.00211982226530783,-0.000706607421769276,-0.000706607421769276,0.0225039570271593,-0.00750131900905311,-0.00750131900905311,0.00407244086571068,0.00085954525467894,3.46590911536032e-05
0.00216506274099432,-0.000721687580331439,-0.000721687580331439,0.0227364851490074,-0.00757882838300247,-0.00757882838300247,0.00415935329904529,0.000877889344614255,3.53987727424489e-05
0.00221076807186257,-0.000736922690620857,-0.000736922690620857,0.0229688122089257,-0.00765627073630857,-0.00765627073630857,0.0042471587678805,0.000896421923055769,3.61460547034032e-05
0.00225693785578873,-0.000752312618596244,-0.000752312618596244,0.0232009382069141,-0.00773364606897138,-0.00773364606897138,0.00433585649929069,0.000915142826909417,3.6900930461316e-05
0.00230357169064894,-0.000767857230216314,-0.000767857230216314,0.0234328631429727,-0.00781095438099092,-0.00781095438099092,0.00442544572033814,0.000934051893079886,3.76633934410241e-05
0.00235066917431934,-0.000783556391439779,-0.000783556391439779,0.0236645870171015,-0.00788819567236718,-0.00788819567236718,0.00451592565807283,0.00095314895847059,3.84334370673514e-05
0.00239822990467606,-0.000799409968225353,-0.000799409968225353,0.0238961098293005,-0.00796536994310016,-0.00796536994310016,0.00460729553953219,0.000972433859983645,3.92110547651081e-05
0.00244625347959525,-0.000815417826531751,-0.000815417826531751,0.0241274315795696,-0.00804247719318987,-0.00804247719318987,0.00469955459174086,0.000991906434519847,3.99962399590905e-05
0.00249473949695305,-0.000831579832317684,-0.000831579832317684,0.0243585522679089,-0.0081195174226363,-0.0081195174226363,0.00479270204171049,0.00101156651897864,4.07889860740813e-05
0.0025436875546256,-0.000847895851541867,-0.000847895851541867,0.0245894718943184,-0.00819649063143946,-0.00819649063143946,0.00488673711643945,0.00103141395025812,4.15892865348487e-05
0.00259309725048904,-0.000864365750163013,-0.000864365750163013,0.024820190458798,-0.00827339681959934,-0.00827339681959934,0.00498165904291263,0.00105144856525495,4.23971347661465e-05
0.00264296818241951,-0.000880989394139836,-0.000880989394139836,0.0250507079613478,-0.00835023598711594,-0.00835023598711594,0.00507746704810118,0.00107167020086441,4.32125241927137e-05
0.00269329994829314,-0.000897766649431048,-0.000897766649431048,0.0252810244019678,-0.00842700813398926,-0.00842700813398926,0.00517416035896228,0.00109207869398031,4.40354482392742e-05
0.00274409214598609,-0.000914697381995364,-0.000914697381995364,0.0255111397806579,-0.00850371326021931,-0.00850371326021931,0.00527173820243888,0.00111267388149501,4.48659003305368e-05
0.00279534437337449,-0.000931781457791496,-0.000931781457791496,0.0257410540974182,-0.00858035136580608,-0.00858035136580608,0.00537019980545949,0.00113345560029936,4.57038738911946e-05
0.00284705622833448,-0.000949018742778159,-0.000949018742778159,0.0259707673522487,-0.00865692245074958,-0.00865692245074958,0.00546954439493788,0.00115442368728268,4.65493623459249e-05
0.0028992273087422,-0.000966409102914066,-0.000966409102914066,0.0262002795451494,-0.00873342651504979,-0.00873342651504979,0.00556977119777289,0.00117557797933278,4.74023591193891e-05
0.00295185721247379,-0.00098395240415793,-0.00098395240415793,0.0264295906761202,-0.00880986355870674,-0.00880986355870674,0.00567087944084812,0.00119691831333586,4.82628576362321e-05
0.00300494553740539,-0.00100164851246846,-0.00100164851246846,0.0266587007451612,-0.0088862335817204,-0.0088862335817204,0.00577286835103173,0.00121844452617654,4.91308513210821e-05
0.00305849188141315,-0.00101949729380438,-0.00101949729380438,0.0268876097522724,-0.00896253658409079,-0.00896253658409079,0.00587573715517618,0.00124015645473781,5.00063335985506e-05
0.00311249584237319,-0.0010374986141244,-0.0010374986141244,0.0271163176974537,-0.0090387725658179,-0.0090387725658179,0.00597948508011792,0.00126205393590101,5.08892978932319e-05
0.00316695701816168,-0.00105565233938723,-0.00105565233938723,0.0273448245807052,-0.00911494152690174,-0.00911494152690174,0.00608411135267721,0.0012841368065458,5.17797376297028e-05
0.00322187500665473,-0.00107395833555158,-0.00107395833555158,0.0275731304020269,-0.0091910434673423,-0.0091910434673423,0.00618961519965784,0.00130640490355016,5.26776462325224e-05
0.0032772494057285,-0.00109241646857617,-0.00109241646857617,0.0278012351614187,-0.00926707838713958,-0.00926707838713958,0.00629599584784682,0.00132885806379029,5.35830171262318e-05
0.00333307981325912,-0.00111102660441971,-0.00111102660441971,0.0280291388588808,-0.00934304628629359,-0.00934304628629359,0.00640325252401421,0.00135149612414069,5.4495843735354e-05
0.00338936582712273,-0.00112978860904091,-0.00112978860904091,0.0282568414944129,-0.00941894716480432,-0.00941894716480432,0.00651138445491277,0.00137431892147403,5.54161194843931e-05
0.00344610704519548,-0.00114870234839849,-0.00114870234839849,0.0284843430680153,-0.00949478102267177,-0.00949478102267177,0.00662039086727776,0.00139732629266119,5.63438377978348e-05
0.00350330306535351,-0.00116776768845117,-0.00116776768845117,0.0287116435796878,-0.00957054785989594,-0.00957054785989594,0.00673027098782664,0.0014205180745712,5.72789921001453e-05
0.00356095348547295,-0.00118698449515765,-0.00118698449515765,0.0289387430294305,-0.00964624767647685,-0.00964624767647685,0.00684102404325885,0.00144389410407125,5.82215758157717e-05
0.00361905790342994,-0.00120635263447665,-0.00120635263447665,0.0291656414172434,-0.00972188047241447,-0.00972188047241447,0.00695264926025547,0.0014674542180266,5.91715823691412e-05
0.00367761591710063,-0.00122587197236688,-0.00122587197236688,0.0293923387431264,-0.00979744624770881,-0.00979744624770881,0.00706514586547901,0.00149119825330061,6.01290051846611e-05
0.00373662712436116,-0.00124554237478705,-0.00124554237478705,0.0296188350070797,-0.00987294500235988,-0.00987294500235988,0.00717851308557314,0.00151512604675469,6.10938376867185e-05
0.00379609112308767,-0.00126536370769589,-0.00126536370769589,0.029845130209103,-0.00994837673636768,-0.00994837673636768,0.00729275014716238,0.00153923743524827,6.20660732996799e-05
0.00385600751115629,-0.0012853358370521,-0.0012853358370521,0.0300712243491966,-0.0100237414497322,-0.0100237414497322,0.00740785627685186,0.00156353225563877,6.30457054478908e-05
0.00391637588644317,-0.00130545862881439,-0.00130545862881439,0.0302971174273603,-0.0100990391424534,-0.0100990391424534,0.00752383070122705,0.00158801034478157,6.40327275556758e-05
0.00397719584682444,-0.00132573194894148,-0.00132573194894148,0.0305228094435942,-0.0101742698145314,-0.0101742698145314,0.00764067264685345,0.00161267153953001,6.5027133047338e-05
0.00403846699017626,-0.00134615566339209,-0.00134615566339209,0.0307483003978983,-0.0102494334659661,-0.0102494334659661,0.00775838134027637,0.00163751567673533,6.60289153471587e-05
0.00410018891437475,-0.00136672963812492,-0.00136672963812492,0.0309735902902725,-0.0103245300967575,-0.0103245300967575,0.00787695600802059,0.00166254259324663,6.70380678793972e-05
0.00416236121729606,-0.00138745373909869,-0.00138745373909869,0.0311986791207169,-0.0103995597069056,-0.0103995597069056,0.00799639587659012,0.00168775212591089,6.80545840682904e-05
0.00422498349681633,-0.00140832783227211,-0.00140832783227211,0.0314235668892315,-0.0104745222964105,-0.0104745222964105,0.00811670017246793,0.0017131441115729,6.90784573380527e-05
0.0042880553508117,-0.0014293517836039,-0.0014293517836039,0.0316482535958162,-0.0105494178652721,-0.0105494178652721,0.00823786812211564,0.00173871838707526,7.01096811128756e-05
0.00435157637715831,-0.00145052545905277,-0.00145052545905277,0.0318727392404711,-0.0106242464134904,-0.0106242464134904,0.00835989895197327,0.0017644747892583,7.11482488169271e-05
0.0044155461737323,-0.00147184872457743,-0.00147184872457743,0.0320970238231962,-0.0106990079410654,-0.0106990079410654,0.00848279188845889,0.00179041315496012,7.2194153874352e-05
0.00447996433840981,-0.0014933214461366,-0.0014933214461366,0.0323211073439914,-0.0107737024479972,-0.0107737024479972,0.00860654615796845,0.00181653332101651,7.32473897092709e-05
0.00454483046906698,-0.00151494348968899,-0.00151494348968899,0.0325449898028569,-0.0108483299342856,-0.0108483299342856,0.00873116098687537,0.00184283512426093,7.43079497457806e-05
0.00461014416357995,-0.00153671472119332,-0.00153671472119332,0.0327686711997925,-0.0109228903999308,-0.0109228903999308,0.00885663560153037,0.00186931840152452,7.53758274079534e-05
